	text
76	huk watas hawkalla chay wasipiqa llamkapakusqa chaymantataq tiyunman watuq risqa wakin irqikunawan riqsirqunakusqa
78	huk punchaw lluqsirqamuspaqa manaña llamkananmanqa kutipusqañachu
80	chay tiyun tiyasqan kallikunapiqa manas allinpunichu runaqa tiyasqa yaqa llapan irqikuna maqtakuna imas suwakuyllamanña 
82	chay uña suwachakunawan winsiskuchaqa kuska puriyta yacharqusqa
84	chaymantapachas wiksu ñanman puriyta qallarisqa
86	astawanqas suwakuyllamanña yacharqukusqa
89	taqaqa muyuriyninpi ayllukunamanta ima huchuyraq hatunraq warmiraq qariraq runaqa chayamun
90	chay makisapa maqtakunawansi runamanta qullqi hurquyta yacharqun
92	allimantaqa ñas hatun wasikunataña suwakuq yaykunku astawan qipamanqa hatun rantina wasikunamanña qullqi waqaychananku hatun wasimanpas yaykusqankuña hinaqa chulla kutilla
94	chunka iskayniyuq watamanqa chay suwakusqanku qullqiwan winsislawqa ñas upyaytaña qallarin
96	hinamantapas kallikunapi wakin suwa masinkunawan takanakuymanña yaykusqa
98	chayraykupiya lliw uyankunatapas kuchuchikusqa
100	kunankamapas chawpi kunkanpi marcasqa 
102	sapa kutillas policíakunawanpas hapichikusqa chaymantapas imaynata ruraspaya ratulla lluqsirqamun
104	winsislawcha maqtaqa chunka suqtayuq watamanña tayta mamanta yuyarispa llaqtanman kutimunanpaq gustunikusqa
106	iskay chunka iskayniyuq watanpiña kutimusqa
108	kunanqa abancay llaqtapiña upyachkan
111	llapanpiqa yaqa tawa pachakmanmi aypankuman
112	winsislaw tumayllaqa tumpa suytuykusqa kasqa charcha niraqlla ñawisapa chukchantaq tumpa kichka kichka uyantaq aswan papayaykusqa
114	winsislawpa pañanpiqa huknin suwa masin maqta kusikuspa misa chawpita qawachkan
116	payqa hatun kurku kurku rikrayuq ch'umpi uyayuq tumpa k'upaykusqa chukchanpas
118	karumantaqa allin kallpasapataqmi rikukun ñawintaq michipahina as aslla sunkhayuq
120	payqa isaac condori sutiyuqmi kasqa
122	sirqi ayllumantataq paypas paqarimusqa
124	taqaqamantaqa aswan urayninpi
126	isaac suwaqa manam hatun llaqtakuna puriytaqa yachasqachu
128	abancay llaqtapi warmiyakusqa kunanqa suqta churiyuqña kasqa kay kimsa chunka watanpi
130	mana imapas llamkanan kaptin abancayllapi tiyasqa
133	chaypiqa iskay allin suwakunata chayraq hapirqamuspanku wañuchiyta munachkas
134	winsislawcha chayarqamuptinsi tuparquspanku allinta qatunakusqanku suwakuypi purinankupaq
136	iskaynin rimasqanchik maqtakunapa chimpanpitaq qipa kaq suwa masinku runa tiyallasqataq
138	payqa aswan taksalla wakinmantaqa tumpa sinqasapa uyantaq aswan yanayaykusqa chukchantaq chayraq rutusqa yana chillu 
140	karqancha iskay chunka pichqa watayuq
142	mana ancha rimaysapa makinñataq laqlakama
144	kay rimasqanchik suwapa sutinqa pedro vera kasqa
146	tayta mamanqa chay ayllu ukullamanta
148	chay kimsantin suwakunaqa hinallas upyachkanku
150	chay upyasqanku ukupi rimayninkutaqa tupachichkanku watuchkanku ima qipa punchawkuna ruranankupaq qayninpa rurasqankuta qawarispa
152	chaypi sinkasqaña kunanqa allinta rimayta tupachichkanku kastilla simillapas rimankupas
155	t'aqaqa aylluqa wakin urqukunapi llaqtakunahina wakchalla kasqa
156	uchuy suyu ayllupi runakunaqa qipa punchawkunataqa lliw yacharqunkuña tayta jacinto suwasqankuta hinallataq teresa sipasta pakisqankutapas
158	chay willakuykunaqa wayrawanpas kuska rinmanku hinas utqaylla runakunamanqa chayarqun
161	wakin ayllukunamantaqa aswan chawpinpi kasqa muyuriyninpitaq tarikusqa
163	kisari ayllu apillway ayllu pararani patapata parqu mulluni awkimarka hururkuy tampurkiy ayllu ima
165	kaykunataq apurimac suyupi tarikusqa
167	perú suyupitaq aswan urayninpiña
170	nispansi baltasar sinsiqa hatun kunkanwan qaparin
171	sumaq wayqu uku pampachapi chay taqaqa aylluqa tarikun
173	sumaq qumir sachakunawan muyuchisqa apu tayta urqukunawan qawachisqa 
175	chay llaqtapa qayllantataq iskay mayukuna hatun urqukunamanta uraykun chaypi tupanakuspañataq chullalla mayuqa wayqunta uraykun imaynam machaqway qinqu qinqurispa purin chayhinata mayupas chin niqta rikchachispa hina allillamanta suchumun hatun pachachaka mayuman chayanankama
177	chay yakuwan qarpasqa allpapiqa tukuy imam wiñan saramanta mansanakama
179	qipa pachapiqa haciendas chay taqaqapiqa kasqa
181	chay uchuy suyupi runakunaqa allinllas tiyakurqanku sumaqlla hawkalla llamkakuspanku chakrankutapas yapurqanku
183	manas haykappas ayllupuraqa takanakuqtaqchu chiqninakuqtaqchu kasqa
185	huñurinakuspa rimarinakuspa ima laymitapas minkatapas ruraririqku
187	kikin ayllu ukupiqa manas ima suwakunapas karqanchu
189	urqukunapi qatukunallamantas mayninpi suwakunaqa vaca qatiyta yachaq
192	payqa wakin runa masinkunaman kutirispa rumi pirqa hawamanta hatun huñunakuypi llaqta runakunata lliw ayllu runakunata 
193	chay suwakunaqa riqsisqa llaqtakunallamantas hamuyta yacharqanku
195	chukimanta antapampamanta chumpivillkasmanta 
197	achkha achkhamantas chay suwakunaqa uywataqa qatiyta yachaqku
199	hinaqa qichwamantaqa manataqsi imatapas tupayarqankuchu
201	mana haykappas qullqi suwataqa riqsirqankuchu sara suwatapas wallpa suwatapas runa wañuchiqkunatapas nakaqkullamantas ñawpaq willakuykunamanta yacharqanku
203	wasikunapas punkunku kicharayasqa hawka kaq
205	chayhinaya chay uchuy suyupi kawsayqa kasqa
207	runakunaqa manaraqya watusqakuraqchu manchakuypi tiyaytaqa llaqtaman qincha chayamunantaqa
209	chayhina hawkallapi tiyakuchkaptinkus huk tutas paqpakakunaqa sachakunapi aya takiyta waqaykun
211	chay supaypa p'isqunta uyarispankus runakunaqa ancha mancharisqa tapurinakunku hinaman nirillankutaq
214	taqaqapi runakunaqa ancha piñasqañam kasqaku imayna yunka uraypi saqra uywakuna takanakunankupaq supayta piñayanakuq chay hinas chay ayllu runakunaqa ancha amisqaña kasqaku chullallata tukuy kallpankuwan 
215	imapunicha kay llaqtanchikkunamanqa chayamunqa sinchitam kay qipa punchawkunapiqa tuta qincha pisquqa takiykamuchkan
217	nispa
219	tayta apolinario qawanaqa allin puqusqa kimsa turukunata qaturqapusqa allin chanin qullqipi
221	yaqa llapan qullqita apaykuspas abancay hatun llaqtaman tukuy imaymana rantikuq puririsqa
223	taqaqa ayllumanta abancay llaqtaman rinapaqqa karu purinaraqsi
225	hatun wayqu urayman mayu patallanta rina hatun rumiyuq ñan pallqakama chaypiraqmi camiunman aypana
227	chaykamallam carruqa chayamun
229	tayta apolinariuqa sapallansi richkan
231	chaysi chin niq sacha sacha wayquta purichkaptinsi kallpasapa kimsa wayna maqtakuna makinpi cuchilluyuqkama pampaman kumparparinku
233	wañuyta mana munaspaykiqa llapan qullqiykita hurqumuy
236	wañuchunku
237	turu qatusqayki qullqita
239	nispansi nin huknin kaq uyan tapasqa suwa maqtaqa
241	apolinario sutiyuq runachaqa sinchitas mancharin
243	imalla mañakunallanpaqpas manas siminpas tuqyanchu watarqapunsi
245	kikin suwakunas runachata hapirquspanku cuchilluwan chumpinta kuchurpaspanku maskapakunku 
247	wiswi suysunapas qullqitaqa allinta kipuschasqata wiqawnin chawpi ukupi apasqa
249	kipuchantintas qalata chay suwakunaqa qichurpapun
251	chayta ruraspankutaq kaq sacha sachaman yaykuykatamun
253	runachaqa wiqi ñawintinsi mana imatapas rurayta atinchu waqantaq llakikuntaq unaymantaña yuyaynin kutimuptinñas waranta hapiykukuspa ayllunman kaq kutipun
255	chay punchawllataqsi inti yaqaña yaykuykuchkaptin huk sipas teresa sutiyuq taksa turichantin kisari aylluman ripusqa
258	wañuchun
259	paykunaqa abancay llaqtata rantikuq risqa
261	chay chisiyaytataq wasinkuman kutipuchkarqanku
263	qipisapa kaspa allimanta purispa tumpata chisiyarqachikusqaku
265	chin niq wayquta llallirichkantinkuñas ñawpaqninpi kimsantin suwa maqtakunaqa uyankuta allinta pisturqukuspa mana riqsichikunankupaq qunqayllamanta rikurirpamunku
267	winsislaw sutiyuq suwas wakintaqa kamachiq kasqa
269	pay umaqa kasqa
271	kikinsi teresa sutiyuq sipastaqa makinmanta hapin huknintaqsi qipinta qichun
273	huknin suwataqsi irqichata sipaspa turichanta waskillawan makinmanta chaqnarquspa huk sachaman watarqanpun
275	chayta rurarquspaqa chunka pichqayuq watayuq sipasta astawan sach'a ukhuman apaykurquspa kimsantin maqt'akunaqa munasqankuta ruraykunku
277	qari kasqankutas rikuchiyta munasqaku
280	wañuyta tarichun
281	teresa sipasqa mana imawanpas amachakuytaqa atinchu waqaylla waqaykun qaparispa waqakuptinpas siminta huk kaq suwa taparqun
283	manallas suwakunamanqa manas imapas qukunchu
285	teresapa wiqinpas ñakariyninpas mañakuyninpas manas sunqunkutaqa llampuyachinchu
287	ernestuchañataqsi sachapi watarayasqanmanta uyariylla uyarichkan paninta waqchispa qanrachasqankuta
289	wiqillansi sutuylla sutuchkan llakikuytaq manchakuytaq ima umanpiqa huñunaykukuchkan
291	mayninpiqa qayakuytas munan
293	pillapas kay chisiyaytaña purichkanman
295	nispa yuyaymanakullantaq
297	urayman wichaymansi qawakun
299	yanqallas ñawinqa muyupakun sunqunpas watupakun ninrinpas uyaripakun manas pipas rikurimunchu
303	teresaqa wañusqanmanta hinas rikcharin
305	kayman wakman qawarin
307	kikinpas qawarikullantaq
309	chakis rikukun
311	ancha llakiysi kan
313	umanpas tomo'ampallaña polleranpas llik'iy llik'i chankankunapas wisch'unkunapas lliw yawarllaña q'ipinpas manas kanchu
315	chayñas turin ernestuchamanta yuyarin
317	waqapakuspa wiqi hunta allimanta sayarin
319	huk kaspiwan tawnakuspansi turin maskaq rin
321	qanchis watayuq maqtachaqa ancha chutapakuspas yaqaña waskamanta lluptirqamuchkasqa chayllamansi paninqa chayarqan
324	sachakunapi tukuy laya pisqukunapas chay qaparisqankuta uyarispanku anchatas mancharikuspa pawaykacharinku urqukunapas yachapayamunsi imayna kusisqa kunkakuna
325	paskarquptinqa ñawinkupas punki punkillaña pawaykanan
327	chaypas ernestoqa waqapakuspa paninta nin
329	suyaykullay paniy tumpatawan wiñarquspa chay qillakunataqa wañurquchisaqmi makiywanpunim sipirqusaq ama waqayñachu
331	nispa kuyaparikun
333	tayta inti puñuq allintaña yaykurqapuq kaptinña iskaynin pani turintinqa wasinkuman chayraq puririnku qipankupi sallqa yuyariyta saqra rurayta ima saqiykatamuspa
335	apu taytakunallas sachakunallas mayukunallas chay ñakachiqkunapa rurasqankutaqa rikusqa
337	paykunapas sinchita llakikuspanku sunqunkuta nanachikuspankus chay suwakunataqa ñakanku
339	saqra suwakunaqa tukuy tutas chakipi hatun auto ñankama kallpanku chaymantañataq abancaykama achikyaytaqa illaripunku
341	chayhina tutalla purispaqa manaya piwanpas rikuchikuqkuchu kasqanku
343	cuñado ha vito como la hice chivar a la chola 
346	yachaspaqa ancha llakipakusqallaña tapurinakunku rimarinku 
348	wakinqa manaña chiqaptañachu rimanku astawan astawanña yapaykunku
349	allin manchasqaraq waqapakusparaq 
350	imapas chaninniyuq tarisqankuqa allin allinninkunata huk wayaqaman churanku
352	chayhina maskachkaspallas pacha baúlpi llapan turu qullqita tarirpanku
354	millayllataña asiykuspankutaq chay payakunaman chay qullqitaqa qawaykachinku
356	señora vicitasiuntaq chay mancharikusqanmanta kallpata hapispas suwakunata nisqa
358	qamkunapunim chay suwakunaqa kankichik jacinto wakcha runacha suwaq teresa sipas waqachiq
360	qillakuna kunanqa paqarin kikiy qusayki guardiakunawan hapichimusaykichik ñuqaqa riqsichkaykichik
362	nispa rimarqun sinchi phiñasqa
364	imachus chayta rimarqun chayqa kikin winsislaw suwa maqtam huk achata hapispa rumi sunqu kaspa mamakuchataqa kikin kiru wasawan umanpi panarqun
366	chayllapaqmi señora vicitasionqa kapusqa
368	pampaman manaña kawsayniyuq siqaykun
371	watupakunkus ayllukuna kamachiqkunapas
372	ñutqunpas hawamanraqsi lluqsirqamun
374	chaytaya munarqanki viejay mierda
376	nispansi panasqan achata huk kuchuman wikapan
378	pampapi chutarayasqanmanta wiraqucha juanqa rikusqa imayna warmin wañuchisqankuta
380	manas siminqa tuqyanñachu manachayqa tukuyta kaminman karqan chay kanalla suwakunata
382	ñuqatawanya wañuchiwachunku warmiywan kuskaya wañukapusaq
384	nispansi huk kawsaypi hinaña hamutachkan
386	chaymantataq allin kallpata hapispa umanta tiyarichin hinamanqa suwakunaman kutirispa kay tipi tipi rimayta qallarin
388	riqsichkaykim yaw maqta qamqa marcelino tumayllapa churinmi kachkanki riki ari riqsichkaykichikpunim
390	nispansi sasallawanña rimayta atirqun
393	pikunataqsi chay suwakunari kan
394	kaqllataqsi chay mana almayuq suwaqa mana sunquyuq suwaqa cuchillunta hurquykuspa machulachaman istiykun wakin suwa masin harkakuchkaptinsi winsislawchaqa taytakuchapa qallunta hapispa hawaman chutarispa chawpimanta kuchurparin 
396	qallu kuchusqatataq kichka kichkaman hawaman wikapatamunku
398	chay saqra rurayta atispankuqa chay tutallas kaq abancay hatun llaqtaman chakiwan kutirparinkupacha mana piwanpas rikuchikuspa
400	hinatam wañamarka aylluqa llakiy llakiyta tarirqan
402	warmi qhari payakuna pampapikama chutarayasqa
404	señora vicitasionqa huk kawsaypiña pachamama ukuman yaykupunallanpaqña
406	wiraqucha juan pereztaq chaki kirisqa wiñaypaq mana rimayniyuq
408	hinallataq allquchankunapas wañusqakama mamankuta ukhu pachaman qatinankupaq
410	chay sinchi llakiyya chay chin niq wayqutapas qatin
412	chay tutapas llapan ayllukunapi chay qhincha simi paqpakaqa wañuyta waqyaykun
415	ninsi baltazar sinsiqa taqaqapi teniente gobernador
416	allqukunapas chay tutaqa millayllatañas awllaykunku runapa yawarninta runapa almanta musyankuman hinaraq
418	wañamarka ayllumanta llakiy willakuyqa tukuy suyuman paqarimurqan
420	abancay hatun llaqtapipas wayra wasikunamantas chay manchay willakuyqa lluqsirimurqan
422	chayta uyarispas runakunaqa aswanta mancharikunku
424	paykunaqa ninkus
426	imanaptintaq taytachakunari kay manchaykunata apachimuwanchik
428	wakin runaqa ñawpaqninkupi hinañas chay wañuy wayrataqa rikusqanku
430	llapallanchiktacha wañuchiyta tukuwasun
432	nisqaku
434	allin umapiya chay llakipakuykunataqa churasqanku
437	maymantataqsi hamunkuman
438	manataq suwakunaqa sipastapas paya machukunapatapas yuyaychankuchu chayqa
440	imaraq mana kanmanchu
442	millay willakuyta uyarispaqa sinchitapunis runaqa waqakuqku
444	chay imayna payakuna wañuy tarisqankutaqa manapunis iñisqankuchu
446	munasqa runa kasqankuraykus aswan llakikuyqa mastarikusqa
448	wakin atiqkunaqa abancay llaqtakama qatikusqanku
450	chaypas chay allin runa warmi vicitasiunqa pampakusqa
452	qusantataqsi hina k'irisqata wawankuna lima llaqtaman pusapunku
454	kaqsi killamanta ima suwakunaqa chay wayqu wichayta risqaku
456	hatun rumiyuqmanta wichayman
459	nillantaqsi tomas chavez ayllukunapa uman kayninpi
460	purispa purispankuqa punchawchataraqsi san jorge chakata chimparquspanku aya willka aylluman chayarqullankutaq
462	chaypiqa sapallankus montes aylluqa tiyakusqanku
464	chay sapallan wasimansi suwakunaqa chayarqunku
466	kimsantinsi kaq cuchillo hapisqakama punkuta haytaspa yaykusqanku iskaynin warmi qarita allinta chaqnarquspa watarquspa imaqa ñawinku rikuchkaptinsi kikin montispa uywanta karunarqamuspanku allin allin kawsayninkuta atisqankutapas apaykatamunku wakinta caballopi wakintataqsi qipipi rikrapi ima suwaykatamunku
468	manaraq wasimanta lluqsimuchkaptinkus tayta lurintinu montesqa wakcha kayninpi qunqurikusparaq suwakunataqa hatun siminwan mañakun
470	amaya chaynataqa rurawaykuchu papay 
472	ñuqaykuqa rikusqaykichik hina wakcha runam kayku wakcha runakunamantaqa tumpallatapas sunquykichikta llampuyaykachiychikya
474	nispa mañakun
476	manas chay huchasapa rumi sunqu suwakunamanqa imapas qukunchu
478	allinta wasi tankakunaman wataykatamuspanku waqaykuspa mañakuchkaptinku hinata siqaykatamunku
481	chayhinatas tapunakuykunaqa tukuy ayllukunapi quñirin
482	suwakunaqa kay kutiqa manam yachasqanku hinaqa abancay llaqtamanchu kutipusqankuqa aswan wayquntakama taqaqa ayllu wichayman puririsqankuqa
484	winsislaw taytanpa wasinman qisari aylluman chayasqanku
486	chaypas wasi ukullapi anchata machasqanku mikusqanku ima
488	suwasqanku uywakunatataq kaq qatirpapusqanku
490	chay qisari ayllupiqa iskay punchaw ima kasqanku qipa punchawtaqa kaq wayquntakama mayu patanta abancayman kutinku
492	hatun ñanninta rispaqa tupasqanku runakunatapas maqaykatamunkus qullqinkutapas imankunatapas qichuykatamunkus
494	manañas pitapas manchakuqchu kasqa
496	chaykunata rikuspa yachaspa ima runakunaqa allintaña musyaq kasqaku paykunam wayq'upi runa sipip suwakuna kasqankuta
498	manaya pantarqankuchu
501	tukuy llaqtakuna ukupi tukuy ayllu ayllupi tukuy wasikunapi watuparikunku
503	chayri mayllatañas runaqa siminman hapichin
505	hinamanqa huk allin niymansi chayan
508	chayhinapiqa ninkus
509	manam ñuqanchik ukhumantachu kanman chay suwakunaqa q'alakunachushina kanman
511	nispan
513	lliw llaqtapiqa anchatapunim llapan runakunaqa mancharikusqa
515	ñawpaqqa manasya muspayninkupipas waturqankuchu kay kikin ayllunpi millay rimaykuna uyarinankupaq
517	riki radiunkupiqa uyarirqankuya limapi
519	arequipapi cuscupi ima utap wakin hatun llaqtakunapipas qullqi suwa purisqanta pasña pakiqkuna kasqanta runakuna wañuchiq kasqanta
521	ichaqa manapuniya kay kikin llaqtakuman chayamunantaqa waturqankuchu
523	kunanqa kaypi kikin urqukunapi chawpinpi wakcha runa ukupi chay qincha rikurimurqan
525	manapunis wakin runaqa iñiq
527	yanqacha llullakuchkanku maymantataq kayman hamun
530	chiqapchus ñak'aq kaq rikurirqamun hatun ñam uraypi
533	hinaqa yaqa llapan runaqa ña willanakunkuña hinaspa kamachirinakun
535	amaña kunanmanta wichaymanqa maymanpas sapallanchikqa purisunchu
539	tayta baltazar sinsiqa papa chakra qawaq sapallan risqa
541	anchata llakikuspa tukuy hamutamuspa ñanta purisqa
543	imaymanas umanmanqa chayamun
545	payqa llaqta uma hina wakinninkunamanta rimarinan allinllapi tiyanankumanta qawarinan ima
547	chaysi ñan patapi tiyarqusparaq sayaykusparaq umanta llamkachichkan llupiykuspa
549	allimanta purispaqa huk hatun urqumansi siqarqun chaypiqa samarinsi
553	rumi patapi tiyarquspaqa llaqtan wayqu uraytas qawarimun eucaliptullañas yunkapi hinaraq qumiryaykamuchkan chaypa chawpinkunapitaq ayllupa wasinkuna rikurimuchkan mayukunapa qapariyninllansi allintaqa uyarikamuchkan
555	astawan karupiqa hatun apu urquta rikun
557	chayqa apu qachawana sutiyuq kasqa
559	chay suyupiqa huchuy apukunapa taytan karqan
561	chukunta chutirqukuspansi apu taytamantaqa mañakun
563	amaya apu tayta qachawana qhinchakuna hamunantaqa munaychu allintaya kay qhawasqayki suyutaqa qayñichiwayku amaya kay qasi tiyasqaykuqa ripuchunchu
565	yanapaykuwaykuya taytay
567	chay hinata mañakuspansi pampapi makinwan huk chakata ruraykuspa chawpinmanta allpata mikuykun
569	chayta rurarquspaqa kaq ñanninta siqaykatamun
571	sirqa llaqtapi taqaqa suyupi ima chay killakamaqa manas ima kasqachu hawkallas imapas kasqa ñawpa pachaman hinaraqmi tukuy
574	manacha tayta apolinariupas teresa sipaspas allintaqa willakuyta atinku
575	apu qachawanapas tayta baltasarpa mañakusqanta uyarirqamunman hina
577	manas maymantapas ima willakuyta chay suykunamantaqa chayamunchu
579	pacha mamapas mikukapunman hina suwakunaqa chinkarqapunku
